[2025-04-11 15:23:38,175: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/extacted_face.jpg
[2025-04-11 15:23:38,529: INFO: app]: Face verification status: failed.
[2025-04-11 15:28:46,122: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:28:46,123: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:28:46,125: INFO: app]: ID card type selected: PAN
[2025-04-11 15:28:46,126: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:32:17,745: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:32:17,746: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:32:17,749: INFO: app]: ID card type selected: PAN
[2025-04-11 15:32:17,750: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:32:17,754: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2025-04-11 15:32:17,755: INFO: app]: Face image loaded.
[2025-04-11 15:32:17,757: ERROR: app]: No face image uploaded.
[2025-04-11 15:32:32,859: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:32:32,861: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:32:32,864: INFO: app]: ID card type selected: PAN
[2025-04-11 15:32:32,865: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:32:32,881: INFO: app]: Face image loaded.
[2025-04-11 15:32:32,897: INFO: app]: ID card image loaded.
[2025-04-11 15:32:32,900: INFO: preprocess]: contours are found at, (0, 0, 678, 452)
[2025-04-11 15:32:32,901: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/contour_id.jpeg
[2025-04-11 15:32:32,904: INFO: app]: ID card ROI extracted.
[2025-04-11 15:32:33,024: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
[2025-04-11 15:32:33,030: INFO: preprocess]: Image saved successfully: data/02_intermediate_data/face_image.jpg
[2025-04-11 15:32:33,030: INFO: app]: Faces extracted and saved.
[2025-04-11 15:32:33,030: INFO: utils]: File is exis for data/02_intermediate_data/face_image.jpg
[2025-04-11 15:32:33,030: INFO: utils]: File is exis for /home/sunny/Desktop/e-KYC_cv/e-kc/eKYC/data/02_intermediate_data/extacted_face.jpg
[2025-04-11 15:32:33,647: INFO: app]: Face verification status: failed.
[2025-04-11 15:32:40,501: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:32:40,502: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:32:40,503: INFO: app]: ID card type selected: PAN
[2025-04-11 15:32:40,503: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:32:40,505: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2025-04-11 15:32:40,505: INFO: app]: Face image loaded.
[2025-04-11 15:32:40,505: ERROR: app]: No face image uploaded.
[2025-04-11 15:32:43,947: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:32:43,950: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:32:43,953: INFO: app]: ID card type selected: PAN
[2025-04-11 15:32:43,954: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:33:53,229: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:33:53,230: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:33:53,232: INFO: app]: ID card type selected: PAN
[2025-04-11 15:33:53,233: INFO: app]: Header set for PAN Card registration.
[2025-04-11 15:33:53,235: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2025-04-11 15:33:53,235: INFO: app]: Face image loaded.
[2025-04-11 15:33:53,237: ERROR: app]: No face image uploaded.
[2025-04-11 15:34:04,944: INFO: app]: Page layout set to wider configuration.
[2025-04-11 15:34:04,945: INFO: app]: Custom theme applied to Streamlit app.
[2025-04-11 15:34:04,949: INFO: app]: ID card type selected: PAN
